Коди помилок Код помилки 	Error text 	Текст помилки (UA)
20000200349 	Sum 	Сума
20000200350 	Third Person can use only NonCash PaymentMethod 	Третя особа може використовувати тільки безготівковий розрахунок
20000200351 	ThirdPerson is invalid 	Третя особа недійсна
20000200352 	ThirdPerson is not selected 	Третя особа не вибрана
20000300446 	This counterparty can not be sender 	Цей контрагент не може бути відправником
20000200354 	Trays cannot be empty 	Поле "Піддони" не може бути порожнім
20000200355 	Trays must be array 	Поле "Піддони" повинно бути масивом
20000200356 	Type should be html or pdf 	Тип повинен бути HTML або PDF
20000200357 	Type should be string 	Тип повинен бути рядком
20000200358 	TypeName of TypeCompensationPB is empty 	Найменування поля "Тип компенсації" порожній
20000200359 	TypeName of TypeCompensationPB is invalid 	Найменування поля "Тип компенсації" недійсне
20000200360 	TypeName of TypeCompensationPB must be empty 	Найменування поля "Тип компенсації" повинно бути порожнім
20000200361 	Unable to deliver in this city on Saturday 	Доставка у вихідний день у цьому місті неможлива
20000200362 	ValuablePapers is too high 	Значення "Цінні папери" надто велике
20000200363 	Value of TypeCompensationPB is empty 	Значення тип компенсації порожнє
20000200364 	Value of TypeCompensationPB must be empty 	Значення тип компенсації має бути порожнім
20000200365 	VolumeGeneral is invalid 	Значення "Загальний об'єм" недійсне
20000200366 	VolumeGeneral is too high 	Значення "Загальний об'єм" надто велике
20000200367 	VolumeGeneral must be empty 	Значення "Загальний об'єм" повинно бути порожнім
20000200368 	VolumeWeight is empty 	Значення "Об'ємна вага" порожнє
20000200369 	VolumeWeight is invalid 	Значення "Об'ємна вага" недійсне
20000200370 	VolumeWeight is too high 	Значення "Об'ємна вага" надто велике
20000200371 	VolumeWeight must be empty 	Значення "Об'ємна вага" повинно бути порожнім
20000400503 	Weight is empty 	Вага не вказано
20000200373 	Weight is invalid 	Вага недійсна
20000200374 	Weight is low for documents 	Вага менше мінімальної для типу вантажу "Документи"
20000200375 	Weight is too high 	Вага занадто велика
20000200376 	Weight is too high for documents 	Вага занадто велика для типу вантажу "Документи"
20000200377 	Weight is too high for floors lifting 	Вага одного місця з послугою "До дверей" має бути до 100 кг
20000200378 	Weight is too high for sunday delivery 	Вага занадто велика для недільної доставки
20000200379 	Weight is too high for the descent from floor 	Вага занадто велика для послуги спуску з поверху
20000200380 	Weight is too high for this postomat 	Вага занадто велика для цього поштомата
20000200381 	WeightFrom cannot be less then WeightTo 	Значення фільтра "Вага від" не може бути меншим, ніж значення фільтра "Вага до"
20000200382 	WeightFrom is invalid 	Значення фільтра "Вага від" недійсне
20000200383 	WeightFrom is too high 	Значення фільтра "Вага від" надто велике
20000200384 	WeightTo is invalid 	Значення фільтра "Вага до" недійсне
20000200385 	WeightTo is too high 	Weight To занадто довгий
20000400505 	Width is empty 	Вага не вказана
20000200387 	Width is too high 	Вага занадто довгий
20000200388 	Width is too high for InPost 	Вага занадто велика для поштомата InPost
